Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,111131914445000.0,,,
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,250022190690000.0,,,
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,737369727570000.0,,,
2000-01-06,RELIANCE,EQ,282.5,289.0,300.7,289.0,293.5,294.35,295.45,15682286,463325404089999.94,,,
2000-01-07,RELIANCE,EQ,294.35,295.0,317.9,293.0,314.5,314.55,308.91,19870977,613838765740000.0,,,
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,419085494795000.0,,,
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,371819207090000.0,,,
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507,356708113910000.0,,,
2000-01-13,RELIANCE,EQ,301.7,306.0,316.4,304.1,309.75,311.85,311.79,17076042,532418081645000.0,,,
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317.0,316.3,316.17,13460592,425587852020000.0,,,